HexColumn
80,
83,
86,
89,
8c,
8f,
92,
95,
98,
9c,
9f,
a2,
a5,
a8,
ab,
ae,
b0,
b3,
b6,
b9,
bc,
bf,
c1,
c4,
c7,
c9,
cc,
ce,
d1,
d3,
d5,
d8,
da,
dc,
de,
e0,
e2,
e4,
e6,
e8,
ea,
ec,
ed,
ef,
f0,
f2,
f3,
f5,
f6,
f7,
f8,
f9,
fa,
fb,
fc,
fc,
fd,
fe,
fe,
ff,
ff,
ff,
ff,
ff,
ff,
ff,
ff,
ff,
ff,
ff,
fe,
fe,
fd,
fc,
fc,
fb,
fa,
f9,
f8,
f7,
f6,
f5,
f3,
f2,
f0,
ef,
ed,
ec,
ea,
e8,
e6,
e4,
e2,
e0,
de,
dc,
da,
d8,
d5,
d3,
d1,
ce,
cc,
c9,
c7,
c4,
c1,
bf,
bc,
b9,
b6,
b3,
b0,
ae,
ab,
a8,
a5,
a2,
9f,
9c,
98,
95,
92,
8f,
8c,
89,
86,
83,
80,
7c,
79,
76,
73,
70,
6d,
6a,
67,
63,
60,
5d,
5a,
57,
54,
51,
4f,
4c,
49,
46,
43,
40,
3e,
3b,
38,
36,
33,
31,
2e,
2c,
2a,
27,
25,
23,
21,
1f,
1d,
1b,
19,
17,
15,
13,
12,
10,
0f,
0d,
0c,
0a,
09,
08,
07,
06,
05,
04,
03,
03,
02,
01,
01,
00,
00,
00,
00,
00,
00,
00,
00,
00,
00,
00,
01,
01,
02,
03,
03,
04,
05,
06,
07,
08,
09,
0a,
0c,
0d,
0f,
10,
12,
13,
15,
17,
19,
1b,
1d,
1f,
21,
23,
25,
27,
2a,
2c,
2e,
31,
33,
36,
38,
3b,
3e,
40,
43,
46,
49,
4c,
4f,
51,
54,
57,
5a,
5d,
60,
63,
67,
6a,
6d,
70,
73,
76,
79,
7c
